id,sexo,edad,califica_presidente,califica_gobernador,distance_Km,nse,candidatos_gober_3,df
927,M,38,6,6,7.258173336,D,Otro,3
810,H,70,10,8,8.086658409,N/D,JDM,3
503,H,37,10,10,7.621725927,A/B,JDM,4
712,H,29,10,7,12.6987055,A/B,JDM,4
704,H,21,9,8,12.62345012,C+,RBC,4
697,H,58,9,9,12.7287995,C,JDM,4
507,H,33,9,7,11.10157206,D,Otro,4
508,H,19,8,8,11.14921415,C+,Otro,4
799,H,77,10,9,10.73621673,C,JDM,4
878,H,30,10,1,12.50599264,D,Otro,4
893,H,55,8,1,12.58486616,D,Otro,4
594,M,99,10,8,7.650705918,N/D,JDM,4
498,H,22,9,8,11.73209291,N/D,Otro,4
701,H,55,10,6,5.721242646,N/D,JDM,6
829,M,38,9,7,10.288668,N/D,RBC,4
554,H,29,6,5,4.867615373,C+,JDM,4
857,H,72,10,6,2.167458544,D,JDM,3
854,M,66,10,1,2.045961102,D,JDM,3
852,H,34,9,9,2.160060836,D,JDM,3
600,H,21,8,8,6.071331498,D,Otro,3
903,M,35,10,6,5.516325246,D,JDM,4
901,M,18,7,8,5.648756285,C,Otro,4
545,H,72,7,10,6.019593221,C+,RBC,4
632,M,33,10,10,4.693770579,C-,JDM,6
631,H,51,10,1,4.749589296,C-,JDM,6
662,H,58,10,3,5.146611551,D+,JDM,6
663,H,66,10,7,5.029323501,C,JDM,6
643,M,70,10,10,5.394836014,D,JDM,6
639,M,54,10,5,4.059299749,D,JDM,6
655,M,68,10,1,5.163784992,C,JDM,6
653,H,35,9,9,5.229627498,C,JDM,6
715,H,31,10,1,4.620072588,D,JDM,6
840,H,77,10,8,3.054903871,C-,JDM,3
868,M,87,10,7,2.897769137,C,JDM,3
861,H,26,8,8,2.891905262,C,JDM,3
455,H,45,3,10,5.750272284,D,RBC,6
452,M,62,10,1,5.667699884,C+,JDM,6
449,M,33,10,9,5.592348132,C,RBC,6
814,M,61,10,10,7.799232112,D,JDM,3
815,M,44,7,10,7.792578084,D,RBC,3
816,M,72,10,5,7.804100757,D,JDM,3
818,M,56,9,10,7.830560877,D,Otro,3
825,H,45,10,7,7.84022998,D,JDM,3
826,M,40,10,7,7.857947603,D,JDM,3
914,M,50,10,10,7.745585968,D,JDM,3
722,H,52,10,5,5.417862674,D+,JDM,6
727,M,22,9,8,5.339648092,C-,JDM,6
719,M,55,10,7,5.322868442,C+,JDM,6
720,H,45,10,5,5.318011896,C+,RBC,6
923,M,30,8,1,5.785168535,C-,JDM,3
924,M,35,10,1,5.807206117,D,RBC,3
860,H,59,10,9,8.177307028,C,Otro,4
473,H,59,1,9,7.007453699,A/B,RBC,4
478,H,75,6,9,6.861816367,C+,RBC,4
525,M,36,1,9,6.675787765,A/B,RBC,6
523,M,28,10,10,7.682959895,C,JDM,4
505,M,30,9,7,7.711242064,D,JDM,4
882,H,89,10,5,2.974806143,D,JDM,3
890,H,60,10,5,2.967815334,D,JDM,3
739,H,46,10,6,5.763897186,D,JDM,3
742,H,19,5,10,5.766592931,D,RBC,3
711,H,30,8,10,5.728132911,C-,RBC,6
713,H,23,10,10,5.719485609,D,RBC,3
786,H,60,10,6,8.222089836,D,JDM,3
611,M,33,10,5,5.443837252,C,JDM,6
610,M,33,10,5,5.370210223,C,RBC,6
620,M,22,8,7,5.276902211,C,JDM,6
607,H,55,10,4,5.354668281,A/B,JDM,6
598,M,27,10,7,5.205851755,C,JDM,6
453,H,67,10,10,4.928494876,C+,RBC,6
567,H,43,8,8,5.204710644,C+,Otro,4
752,H,30,10,8,6.345268388,D,JDM,3
761,M,56,9,8,6.221866779,D,JDM,3
762,H,62,10,8,6.209557125,D,JDM,3
749,M,41,10,7,6.288131494,D,JDM,3
581,M,24,8,8,4.693759852,D,JDM,4
520,M,25,10,7,8.20601806,A/B,JDM,4
517,H,35,10,5,8.19760275,A/B,RBC,4
673,H,40,3,8,11.58402783,C+,RBC,4
661,M,80,1,10,11.687488,A/B,RBC,4
542,M,31,1,9,9.953459677,D+,RBC,4
584,H,72,8,7,8.173261929,C,JDM,4
591,M,53,10,8,7.830804367,C-,RBC,4
590,M,25,9,9,7.828709455,C,JDM,4
585,M,39,3,9,7.143700457,C+,RBC,4
577,M,19,9,9,7.371390115,C,JDM,4
777,H,25,8,7,8.223617835,D,RBC,3
781,H,58,10,9,8.222567504,D,JDM,3
773,H,50,10,7,8.229400712,D,JDM,3
774,H,59,10,6,8.210415798,D,JDM,3
780,H,50,10,10,8.291402184,D,RBC,3
913,M,40,9,7,7.806341801,D,Otro,3
